text,source_label
"Washington, D.C. - The September 11, 2001 terrorist attacks on the Pentagon left a profound impact on the country, and for one survivor, the memories are still fresh after 20 years.""It was a chaotic day, and it happened so fast,"" said Mary Williams, who was a military analyst at the Pentagon on that fateful day. ""I was sitting at my desk when I heard a loud boom.",ai_generated
"in the Fight Against Poverty, São Tomé, 2010.42.  ""Districts of São Tomé and Príncipe."" Statoids.43.  São Tomé and Príncipe Chamber of Commerce and Industry. Archived from the original on 13 January 2016. Accessed September 10, 2018.44.  ""José Tolentino Mendonça named Cardinal by the Catholic Church."" It's called """" Téla Nón """" in Portuguese. October 5, 2019.",machine_translated
": RahulNew Delhi, Nov 23 (PTI) Congress President Sonia Gandhi on Monday warned those who would attempt to undermine Indian unity and democracy and said such attempts would be considered as an 'influence campaign'.In an interview with a national television network, Sonia Gandhi said ""such an attempt would be taken seriously by all of us"".Also Read | PM Modi, Chinese President Xi Jinping Hold Second Face-to-Face Talks After Border Face-off, Says MEA.""A very close associate of mine said to me that he saw some people who were planning to make an attempt to destroy our unity"", Sonia Gandhi said.""Such an attempt would be taken seriously by all of us,"" she said.Also Read | Maharashtra Shocker: Man Dies After Being Assaulted by a Group of Farmers in Nagpur's Bhuj district.She also dismissed Congress MP Rahul Gandhi's claim that China has encroached Indian territory in Ladakh and urged him to immediately correct his statement.""Rahul Gandhi is also extremely talented. Let him correct his statement and make amends,"" Sonia Gandhi said.The Congress chief further said, ""The nation must get all the facts"".Sonia Gandhi said that the nation must get all the facts to take a proper decision.The Congress chief said the nation must get all the facts and take a proper decision with the country's unity and integrity at stake.""This is the most important duty of the government. We have to take the right decisions for our nation. The country's unity and integrity is at stake. We should take every necessary decision to ensure our unity,"" she said.Sonia Gandhi stressed that the nation had to take this very seriously to ensure that our unity, integrity and territorial integrity do not get compromised.She said that it was only possible with the cooperation of the party members in parliament.""This is not possible without the cooperation of the political parties and members in the parliament. The country needs to take this very seriously and work to ensure that the integrity and sovereignty of our country do not get compromised,"" Sonia Gandhi said.""We must take decisions that are in the interest of our country.",ai_generated
"There's a special on Portuguese television tonight. Qua, the latest TV series produced by RTP, airs at 10 p.m. The story revolves around a family of refugees who live in a Portuguese village, faced with a lot of prejudice and mistrust. Characters have to deal with the daily challenges that migration brings with it. This dramatic comedy is a unique blend of real-life drama, joy and melancholy. What a reflection on what it really means to be English. This issue needs to be watched.",machine_translated
"ROME - Pope Francis has created seven new saints in a canonization ceremony at the Vatican. The new saints included two important Church figures who were strong voices in the favor of the poor: Pope Paul VI and Salvadoran Archbishop Oscar Romero.Before tens of thousands of faithful in Saint Peter's Square, Pope Francis elevated to sainthood seven people including Pope Paul VI and murdered Salvadoran Archbishop Oscar Romero. Both were controversial figures in the church.Priests wearing vestments with the effigy of martyred Salvadoran Archbishop Oscar Romero attend a canonization ceremony in St. Peter's Square at the Vatican, Oct. 14, 2018.Large tapestries with the images of the seven new saints hung from St. Peter's Basilica as is customary during a canonization ceremony. The other five lesser-known new saints were from Italy, Germany and Spain. They included an Italian orphan who died from bone cancer when he was just 19 years old.Salvadoran President Salvador Sanchez Ceren, Chile’s President Sebastian Pinera and Spain’s Queen Sofia attended the ceremony.Cecilia Flores poses for a portrait in front of a mural with images of Archbishop Oscar Arnulfo Romero, at the chapel where he was assassinated in 1980, in San Salvador, El Salvador, Oct. 5, 2018.Pope Paul VI was the third pope to be declared saint by Francis since his election in 2013.",human
"Shiseido announced yesterday that it will suspend all animal testing of cosmetics, becoming the first major cosmetics company to do so.",machine_translated
"São Paulo, June 15, 2017 — The political use of social networks, particularly media and social media social networks, has sparked a controversy in South Africa. Civil society has denounced that anti-criminalization and anti-discrimination legislation is being used to criminalize the right of expression of citizens who express their opinions. Civil society, in particular law enforcement agencies, have claimed that human rights anti-discrimination legislation is being used to criminalize the right to express opinions on the Internet. Following """" Internet Freedom of Expression Day in South Africa, """" the state should be responsible for prohibiting censorship and hate speech that promotes fear, intolerance and violence. The right to freedom of expression is the key to democratic civilization and is responsible for the maintenance of human rights. The fight against Internet censorship should be at the center of debates about the role of the Internet in public life.",machine_translated
"In BaghdadYazidi children rescued from al-Qaida-controlled areas in Iraq have been taken to a medical facility in Baghdad where they will receive psychological help in case of flashbacks, experts said Friday.Yazidi girls from al-Nusra Front rebel group walk at the entrance of a school in northern Iraq March 3, 2014.Mohammed al-Salami/APA man takes photographs of a girl from al-Nusra Front group in northern Iraq March 3, 2014.Mohammed al-Salami/APMen walk through a school where Yazidi girls and other women are brought on March 3, 2014.Mohammed al-Salami/APYazidi women take part in a military parade at a military base in northern Iraq on March 3, 2014.Mohammed al-Salami/APA girl from al-Nusra Front group, wearing a black veil, reads a Quran in the northern town of Jawzran on March 1, 2014.Mohammed al-Salami/APWomen take part in a military parade at a military base in northern Iraq on March 3, 2014.Mohammed al-Salami/APYazidi women taking part in a military parade at a military base in northern Iraq on March 3, 2014.Mohammed al-Salami/APIraqi security forces drive a car belonging to al-Nusra Front militants through a checkpoint in Jawzran, Iraq February 27, 2014.Mohammed al-Salami/APThe women and children of al-Nusra Front rebel group pose at the entrance of a school in Jawzran on March 2, 2014.Mohammed al-Salami/APAl-Nusra Front leader and Iraq's national security chief Talib al-Zulhimi takes part in a parade in Baghdad January 19, 2014.Mohammed al-Salami/APIraqi security forces drive a car belonging to al-Nusra Front militants through a checkpoint in Jawzran, Iraq February 27, 2014.Mohammed al-Salami/APIraqi women take part in a military parade at a military base in northern Iraq on March 3, 2014.",ai_generated
"HARARE, ZIMBABWE - Zimbabwe’s government has started the process of compensating white commercial farmers displaced from their properties during the country’s land reform in the early 2000s. But farmers say the $53 million set aside for the purpose will not go far.Zimbabwe’s Commercial Farmers’ Union says it is waiting for details from the government on how it will compensate those whose property was seized during the country’s land reform program beginning in 2000.Union director Ben Gilpin welcomes the $53 million announced in the 2019 budget for the program, with some reservations.“Generally, the amounts that people get are a fraction of what their properties are worth and the amounts are spread, payments that take up a number of years to complete. But it is a start and it is an acknowledgement,” he said. “I think at the same time the budget acknowledges that there is a bigger problem, and the government needs to work to try and find a way around that.”The program seized property from about 3,500 white commercial farmers and gave the land to blacks.Then-President Robert Mugabe said the reforms were needed to correct injustices of the colonial period.Zimbabwean Finance Minister Mthuli Ncube at State House in Harare, Zimbabwe, Sept. 10, 2018. He says the $53 million set aside for farmers is a stopgap measure.Zimbabwe Minister of Finance Mthuli Ncube says the $53 million is a stopgap measure while a figure is reached on how much is owed to all evicted farmers.“",human
"JUBA - Ugandan troops will remain in South Sudan until a regional security force is deployed in the country to beef up security, South Sudanese Defense Minister Kuol Manyang Juuk said Tuesday, ignoring calls by the opposition for the Ugandans to pull out. Manyang said the Uganda People's Defense Force (UPDF), which was sent into South Sudan days after fighting broke out in mid-December, will not leave the country until the Intergovernmental Authority on Development (IGAD), which is mediating peace talks for South Sudan, deploys a regional force to keep the peace and secure vital installations. He said the withdrawal of UPDF was also contingent on the warring sides in South Sudan signing a peace deal. Peace talks were adjourned this week by IGAD to allow its special envoys to hold consultations with the two sides in the conflict and international partners. The opposition failed to show up for the latest round.Kampala and Juba said when Uganda first sent troops into South Sudan that they were being deployed to protect government installations and help foreign nationals to safely evacuate the country. But Manyang said having a troop presence in South Sudan was also in Uganda's interest. ""If there was fighting in Juba and people get displaced, they go to Uganda. There would be massive movement of the population to Uganda and that would make life very difficult for even Ugandans,” he said.South Sudan refugees at Kiryandongo settlement camp in Uganda. Uganda has taken in more than 76,000 refugees from South Sudan since unrest broke out there on Dec. 15, 2013.",human
"External links: """" About the Mine Beans, """" at Café with Leite — History, Culture, Social and Behavioral Sciences. """" ""The Sweet Beans"" (Interview). Cooking & Wine.  Diario Clarín, June 2, 2012.* """" Cochineal: food symbol of a multicultural Brazil, """" article in the Argentine journal Clarín. * On the Arxivat mine cochineal 2006-10-03 at the Wayback Machine.* Duck on the Delicious website * Arxivat Duck Recipe 2018-01-19 on the Wayback Machine.",machine_translated
- Commerce Journal. Search for the letterbox hasn't advanced in the last week. - Commerce Journal. Search for the wonder yet with no concrete results. - Commerce Journal. - CNV Aviation Tracking. - Aeronautical Mission. - Aeromarc. - Flight 296 Memorial Site. - Together. Homecoming to Captain Nivaldo de Castro Abreu and the TAM 402 Flight Crew — Together! Photos from Flight 402 — Together!,machine_translated
"Italy decided to declare a state of emergency in the airspace after the incident that destroyed the cruise ship M/N Viking Star in the port of Genoa in the north of the country. According to the Ministry of Foreign Affairs, the decree was made with the aim of ensuring the safety and well-being of the passengers and crew of the vessels that disembarked at the airport. According to the minister herself, she will have the presence of an Italian representative at the port to attend to the needs of the passengers and ensure the safety of the terminal. In addition, a technical team will be appointed to evaluate the damage caused by the incident and to seek solutions to minimize the exposure of the same to the public. This was done after a meeting was held with the Crisis Committee of the Council of Europe, in which the Italian foreign minister participated. The meeting established that EU countries should ""help Italy deal with the disaster,"" and that ""EU countries should contribute to the resolution of the crisis."" ",machine_translated
Edgar is looking for a new sound universe for Brazilian hip-hop.,machine_translated
"A 3D printer helped to recover a face from a British man who suffered a severe facial injury in a motorcycle accident. Stephen Power, 29, spent four months in the hospital recovering from his injuries before being presented to a maxillofacial surgeon who then discussed the possibility of creating a 3D-printed facial prosthesis. The British medical technology company, Fripp Design and Research, created the custom facial prosthesis using a 3D scanning process to create an accurate model of Power's face. The prosthesis, which includes the bones and the facial muscles, was then 3D printed using nylon powder. Power said that the prosthesis changed his life: """" Prosthetics allows me to go out in public and come in without paying attention to me. I'm very grateful to everyone involved in helping me regain my quality of life."" The 3D printer has been widely used to create medical prostheses, including bones, knees, teeth and dental prostheses. Innovative technology can help.",machine_translated
"When Mike Bloomberg held a rally this month at the National Constitution Center in Philadelphia, the signs of his wealth and influence were everywhere.Former Philadelphia Mayor Michael Nutter, long a paid adviser to one of Bloomberg’s charitable programs and now to his campaign, warmed up the crowd with chants of “Mike will get it done!” That followed a performance of the Nick Jonas song “Jealous” by an a capella group from the University of Pennsylvania, where Bloomberg has funded public health research.“Bloomberg interns” have worked at the National Constitution Center and other Philadelphia cultural sites thanks to his largesse, and Bloomberg gave the center’s former CEO a $50,000 donation for his successful 2016 run for state treasurer.Across the city, soda sales had dropped after a 2017 tax increase that Bloomberg spent millions to pass, study and defend with the support of Mayor Jim Kenney, whose reelection he backed last year with $1 million in outside spending. And the Bloomberg-endorsed state attorney general was leading a data-driven campaign against gun crime in the city.Bloomberg Roughed Up in First Democratic DebateBernie Sanders surging as moderates battleBloomberg told the crowd that his spending had transformed American life: It helped shut down 300 coal-fired power plants, strengthen gun laws in 20 states and flip the U.S. House to a Democratic majority.",human
"A trial is set to begin this month for a police case in which a Brazilian woman accused of murder is awaiting trial in Paris. The accused, a 28-year-old former professor, is charged with killing her ex-boyfriend and concealing her body 18 months ago. She's currently under arrest in France. Her lawyer is arguing that the indictment was based on false evidence and that further investigation revealed that her ex-boyfriend was alive. He's also arguing that the case was poorly archived for political reasons.",machine_translated
"The Portuguese government presented this week the Recovery and Resilience Plan, which aims to respond to the social vulnerabilities affecting the country. The initiative involves investments in areas like health, education and housing, and it aims to ensure social inclusion, family well-being and the reduction of inequalities. The plan, which is the result of a broad process of dialogue between government, public, private and civil society, provides for the allocation of about 14 billion euros for different areas of investment. Among the measures, the housing support program, which aims to expand the supply of social housing, guaranteeing access to decent housing for all citizens. In the health sector, the plan envisages the construction and modernization of health centers and hospitals, as well as increasing the delivery capacity of the public network, through the strengthening of the National Health Service (NHS). It's also going to invest in mental health promotion, a theme that won a May award.",machine_translated
"""Visit of Admiral Harry Harris to Foreign Minister Manuel Augusto."" News of the Minute. May 3, 2019. Accessed February 18, 2022. Archived from the original on December 13, 2019. * ""Government Receives US Admiral — Admiral Harry Harris Visits President João Lourenço."" Angolan newspaper. April 30, 2019. Accessed February 18, 2022. Photo courtesy of February 18, 2022. ""US and Japanese ambassadors meet in Luanda — Admiral Harry Harris visits Foreign Minister Manuel Augusto."" Angolan newspaper. May 3, 2019. Accessed February 18, 2022.",machine_translated
"The Azores government confirmed today that it is negotiating the purchase of two more vessels, a decision aimed at ensuring the safe supply of fish and crustaceans. The decision, announced earlier this week, is intended to further sustain and develop the fisheries sector on the islands. The purchase of the two vessels is being negotiated through the Portuguese Navy and will be funded by the Regional Development Fund of the Autonomous Region. The Azores government hopes that the investment will ensure a significant increase in the fishing volume of the islands, improving the living conditions of fishermen and contributing to the economic and social sustainability of the region.",machine_translated
"(Laughter) (Applause) ANGOP, six. June 2009.2.  Thank you, Mr. President. The President, three. June 2009.  Angolan President announces reduction in the number of ministries, Agence Lusa, 4. June 2009.  Angola: End of the Angola-Italy relationship. Five. June 2009, ANGOP.5.  The Angola-Italy Bilateral Relationship. News, four. June 2009.  Angola gets an ambassador from South Korea. News, 20. June 2009, Annottices 7.",machine_translated
"On Tuesday, President Obama announced a set of initiatives to reduce the burden of student loan debt for Americans, the New York Timesreports. Obama is announcing new standards for private lenders in the hopes that these new standards will bring down college costs and eliminate the need for so many student loans.Many students, he said, are taking out student loans to finance their educations but are leaving school with debt that exceeds the value of their degrees. This puts an unfair burden on students who cannot afford the high costs of college.Obama said that private lenders have to meet new standards in order to keep federal financial aid dollars flowing to students. New rules will be put in place in order to keep down the costs of private loans. Obama will announce the details of this new plan at a visit to Iowa today.This new initiative is expected to include standards regarding how much a private lender can charge for a loan. The standards will be designed to keep borrowing affordable for students so they can get the financing they need to be able to afford to go to college without being burdened by debt.Obama’s plan to help ease the burden of student loans is expected to include some provisions regarding making it easier to refinance debt. It will also include changes that will simplify the repayment process.One of the goals of this new initiative is to reduce the amount of money that students borrow and to make it so that they are able to pay off the loans as quickly as possible. Obama has often said that college debt is a drag on the economy, and his new initiative is aimed at addressing that problem. He has also said that a college education should not have to break the bank.On Thursday, Obama is expected to speak about higher education and how college graduates should not be burdened with so much debt. While this is not the first time he has addressed the issue, it will mark the latest step taken by the administration to address the problem of mounting student debt.",ai_generated
"It's 5:30 p.m. Then on Sunday afternoon, the one-hour special was shown, and on the same day, at nighttime, the full-length series was shown. In 1973, the show was held the next day, Saturday afternoon. From 1974 to 1984, the awards ceremony was held on Friday night.",machine_translated
"Superbugs will kill one person every three seconds in 2050 unless action is taken immediately, according to a report commissioned by the British government and released this Friday. The study, commissioned by the British government and led by economist Jim O'Neill, creator of the term Bric, suggests a plan that will require billions of dollars of investment to prevent medicine from being """" taken back to its prime. """" They also advocate a revolution in the way antibiotics are used and a big campaign to educate people. The report was received without consensus — there was praise, but critics said it was ""insufficient.""",machine_translated
"Pakistan is prohibiting the owner of an airline from leaving the country following the crash of one of its planes that killed 127 people.Interior Minister Rehman Malik said Farooq Bhoja has been barred from leaving Pakistan while aviation officials investigate Friday's crash that killed all on board. Witnesses say the Boeing 737 crashed during a thunderstorm near the capital's international airport, and that it may have already been on fire before it hit the ground. An airline official has blamed bad weather for the crash, but the cause has not been determined. The plane's flight data recording system - key to any investigation - has been recovered.At first light Saturday, soldiers and emergency workers were seen searching for bodies among the wreckage. Bhoja Air had stopped operating for more than a decade, but relaunched in March with several used Boeings - a practice aviation officials say is not uncommon. While the airline had been flying between Lahore and Karachi, Friday's doomed flight from Karachi marked the first time the airline had flown to Islamabad. Officials say the leased Bhoja Air jet had been in service for three decades.Bhoja Air official Masham Zafar told the French news agency, AFP, the Boeing 737 had received Pakistan's Civil Aviation Authority certification and was given clearance by the CAA to land at the Islamabad airport.",human
"With legislation overhauling taxes and health care on an uncertain path, President Donald Trump returned to the familiar. Trump brought 52 business leaders from New York City to the White House Tuesday to talk about another favorite campaign issue — infrastructure and economic growth. The U.S. economy has so far proven to be a point of pride for a presidency that has otherwise gotten off to a rocky start. Trump inherited a stable economy from former President Barack Obama, an economic recovery that's heading toward its eighth year. But Trump believes he can do more for business. Trump and several of his top aides emphasized plans to cut red tape and jumpstart infrastructure projects at Tuesday's meeting, while also previewing for the CEOs other priorities that include shortening flight times for airplanes, increasing the power grid's efficiency and targeting programs to improve job training. At one point the president had an aide come on stage to hold up a long scroll of the government's approval process for building a highway. The president then pledged to eliminate more than 90 percent of the regulations involved and ""still have safety.'' He provided no details. The administration has committed to directing as much as $1 trillion for infrastructure over the next decade, although it has yet to release policy specifics. Transportation Secretary Elaine Chao recently said she expects a plan will be unveiled later this year. But getting a measure through Congress could be difficult given the Republican majority in both chambers and their desire to reduce tax rates as much as possible.",human
"ISLAMABAD - While congratulating Afghan authorities on successfully holding Saturday’s presidential and provincial council elections, officials and political observers in neighboring Pakistan hope the development will help improve their usually uneasy bilateral relations. Prime Minister Nawaz Sharif says he hopes the Afghan elections will be “instrumental in creating unity and harmony among the war-torn people” of Afghanistan. An official statement released in Islamabad quotes him as promising to work in collaboration with the new leadership in Kabul for regional peace and stability. Before Saturday’s polls, Pakistan and Afghan security forces closed all border crossings and deployed additional troops to beef up security on the mostly porous border between the two countries. Sharif has said the election in “brotherly” Afghanistan would prove to be a historic moment for its people in their democratic journey. As he put it, making decisions through ballot boxes by the Afghan people reflects their determination and keen interest for adopting democratic culture. Pakistan Senate Defense Committee Chairman Mushahid Hussain says the Pakistani government adhered to a policy of non-interference in the Afghan election process and that the principal Afghan presidential candidates avoided Pakistan-bashing during campaign rallies. The opposition senator says he is hopeful the outcome of the democratic process in Afghanistan will prove to be “a major leap-forward” for bilateral relations. He says ""this is a great opportunity for Pakistan.""",human
"The smells and sounds of Tijuana smack us as soon as we open the doors of our bug-splattered rental, a Jeep Renegade: food stalls selling roasted corn, churros and hot dogs; a near-empty bar blaring the oompa-oompas of norteno, Mexico's answer to polka. This is our last stop. We have just logged 3,000 miles from the Gulf of Mexico to the Pacific Ocean, crisscrossing back and forth across the world's 10th-longest border 22 times over two weeks and blogging about the experience. We have traversed the terrain through which President Donald Trump would build a 30-foot-high wall; we have talked to anyone and everyone who was willing to open up to us. We've seen a father and daughter speak through the bars of the border fence, and talked to an Arizona rancher who supports the wall but who has installed taps at every well on his desert property so migrants can drink. In Ciudad Juarez, we watched Mexican children throw rocks across the fence at railroad maintenance vehicles in the U.S. In Tijuana, we met a U.S. Army veteran who crossed the border, in her words, to ""hide'' from life for a few hours. What we've found, from the near-empty migrant shelters of Tamaulipas state in Mexico to the drug-running corridors of the Sonoran desert, is a region convulsed by uncertainty and angst, but rooted in a shared culture and history unlikely to be transformed by any politician, or any barrier man can construct. Border life ""is not going to change,'' said Ramon Alberto Orrantia, a 54-year-old restaurant parking attendant who has lived in Tijuana for 48 years. ""People continue doing the same thing. Life is normal.''",human
"(Barack Obama), my personal story of his journey, of which people are still up there, in a more profound way than I did in my biographies of Anansi and Beco. """" I want you to ask him what his favorite story is. He wrote his memoir, The Rise of a President. (Barack Obama), my personal story of his journey, of which people are still up there, in a more profound way than I did in my biographies of Anansi and Beco. (Laughter) Obama also interviewed the journalist Nelson Mandela, whom he likes, and the writer Nelson Rodrigues. He was the writer of a newspaper about the Vietnam War, and some articles about civil rights struggles. He also read a little bit, especially about John Milton, John Bunyan, Shakespeare, William Blake, Edgar Allan Poe, Marcel Proust, Jack London, Jorge Amado,",machine_translated
"The fossilized bones of a female hominid creature who lived about three million years ago in what is now Ethiopia, continues to draw crowds at Houston's Museum of Natural Science. Recently visiting the skeleton called Lucy was the man who discovered her on a rocky slope in Ethiopia back in November 1974, anthropaleontologist and director of the Institute of Human Origins at Arizona State University, Donald Johanson. VOA's Greg Flakus has this report from Houston.For the past couple of months, school children have been coming to the Houston Museum of Natural Science to see a set of fossilized bones that the world now knows as Lucy.No visitor has a more special relationship with Lucy than the man who discovered her, anthropaleontologist Donald Johanson.""I can say that my heart beat a little faster when I knew that the original fossil is in this room,"" he said.Johanson found the fossil while working in northeastern Ethiopia on November 24, 1974.""The first bone I found was a little fragment of a right elbow and I looked at it on the ground and knew from the shape of it that it did not belong to a monkey or any other kind of animal and that it had to come from a human ancestor skeleton,"" he said.He says the partial skeleton picked up its name later that night as he and his team worked while listening to a Beatles song on a portable tape player.""'",human
"December 7th, November 4th — U.S. President Barack Obama is reelected President of the United States after defeating Mitt Romney.November 6th — Former Corinthians football player Andrés Sánchez leaves jail after seven years in prison.November 11th — JFK Airport's new passenger terminal opens in New York City.November 13th — a.74 magnitude earthquake hits the Philippine island of Mindanao.November 14th — In Australia, the first shipment of a plan to divert 250,000 European immigrants to rural areas arrived in Albany, Western Australia, with 830 people in its cabin.November 18th: The Turkish government launches a military operation against the PKK in northern Iraq.",machine_translated
